Keyword,Count
software and its engineering,104
solids,104
frequency,104
spatial databases,104
statistics,104
physics,104
world wide web,102
statistical analysis,102
books,102
and systems,102
i.3.3 computer graphics: picture/image generation—line and curve generation,101
web sites,100
data engineering,100
computer science education,99
image coding,99
social and professional topics,98
hci theory,98
spatial resolution,98
avatars,98
shape analysis,98
text analysis,97
solid,96
splines (mathematics),95
principal component analysis,95
machine learning,94
pattern analysis,94
graphics systems and interfaces,93
labeling,93
bars,93
skeleton,93
cultural differences,93
approximation algorithms,92
computer aided instruction,92
computer aided manufacturing,92
packaging,92
groupware,92
heuristic algorithms,92
tree data structures,91
solid modelling,91
computer interfaces,91
guidelines,91
face,90
clouds,90
shape control,89
process design,89
cognitive science,88
surface fitting,88
user experience,87
touch screens,86
bioinformatics,86
switches,85
medical diagnostic imaging,85
approximation methods,85
special issues and sections,85
ontologies,84
information technology,84
runtime,84
scalability,83
performance evaluation,83
calibration,83
physics computing,82
motion control,82
merging,82
parallel processing,82
meteorology,81
control systems,81
facial animation,81
indexes,80
standards,80
user centered design,79
computer networks,79
search engines,79
convolution,78
and object representations,78
i.3.7 computer graphics: three‐dimensional graphics and realism—animation,78
earth,77
graphics processing units,77
urban areas,76
bandwidth,76
diseases,76
stress,76
optical imaging,76
design methodology,75
pattern clustering,75
partitioning algorithms,75
visual perception,74
mobile computing,74
spatiotemporal phenomena,74
i.3.5 computer graphics: computational geometry and object modeling—geometric algorithms,74
interaction design theory,73
space exploration,73
cad,73
mobile robots,73
evaluation,73
programming profession,72
springs,72
casting,72
videos,71
clutter,71
biology computing,71
electrical capacitance tomography,71
numerical simulation,71
surface topography,71
piv,71
interaction design process and methods,70
software notations and tools,70
natural languages,70
distributed computing,70
writing,70
context modeling,70
road safety,70
categories and subject descriptors (according to acm ccs):,70
estimation,69
sorting,69
shape modeling,68
image manipulation,68
genomics,68
head,68
software libraries,68
concurrent computing,68
professional topics,67
software systems,67
computer aided software engineering,67
image quality,67
information science,66
information resources,66
vehicles,66
atmospheric modeling,66
music,66
design,66
i.3.7 computer graphics: three‐dimensional graphics and realism—color,66
proposals,65
stereo image processing,65
multimedia systems,65
assembly,65
fractals,65
fluid dynamics,65
anisotropic magnetoresistance,65
i.3.7 computer graphics: three‐dimensional graphics and realism,65
roads,64
mobile handsets,64
skin,64
tv,64
optical reflection,64
eigenvalues and eigenfunctions,64
tag clouds,63
character generation,63
image databases,62
aggregates,62
collision avoidance,62
medical services,62
fires,62
volume rendering,62
image sampling,62
extraterrestrial measurements,62
scientific visualization,62
nasa,62
engineering graphics,61
accuracy,61
particle measurements,61
global positioning system,61
medical simulation,61
automobiles,60
indexing,60
computer society,60
information systems applications,59
delay,59
cadcam,59
knowledge management,59
computational efficiency,59
fluid flow,59
user interface,58
web pages,58
pattern recognition,58
modelling,58
protocols,58
computer errors,58
construction industry,57
heart,57
computers,57
entropy,57
level set,57
interaction,57
development frameworks and environments,56
lattices,56
informatics,56
joints,56
photography,56
iterative algorithms,56
coherence,56
i.3.7 computer graphics,56
law,55
accessibility,55
neural networks,55
sensors,55
interaction techniques,55
force,55
atmospheric measurements,55
probes,55
companies,55
sun,55
adaptation models,55
driver information systems,55
collaborative and social computing theory,54
australia,54
technological innovation,54
image converters,54
global illumination,54
mirrors,53
visual system,53
road traffic,53
inspection,53
relational databases,52
image retrieval,52
microscopy,52
transforms,52
grid computing,52
integrated and visual development environments,51
empirical studies in hci,51
kinematics,51
medical computing,51
visual analysis,51
weather forecasting,51
paints,51
graphics processing unit,51
meetings,51
i.3.3 computer graphics: picture/image generation—display algorithms,51
petroleum,50
computer applications,50
supercomputers,50
philosophical/theoretical foundations of artificial intelligence,49
geology,49
wavelet transforms,49
software engineering,49
aerodynamics,49
sociology,49
curve fitting,48
interactive visualization,48
speech,48
object oriented modeling,48
vegetation,48
marine vehicles,48
numerical models,48
microcomputers,48
automatic control,48
manifolds,48
brightness,48
differential equations,47
semantic web,47
multimedia computing,47
architectural cad,47
mobile communication,47
concrete,47
cartography,47
target tracking,47
decision support systems,47
business,47
software algorithms,47
reflection,47
memory management,47
path planning,47
diffusion tensor imaging,47
time series,46
telecommunication traffic,46
programming,46
research and development,46
computer games,45
organizations,45
power system modeling,45
convergence,45
interviews,45
knowledge representation,45
planning,45
brushes,45
servers,45
shape measurement,45
i.3.5 computer graphics: computational geometry and object modeling—curve,45
data compression,44
information filtering,44
portals,44
bones,44
geography,44
urban planning,44
spirals,44
ip networks,44
robots,44
digital art,44
rough surfaces,44
silicon,44
graphics input devices,43
optical sensors,43
cancer,43
eyes,43
information management,43
protection,43
strips,43
heating,43
i.3.3 computer graphics,43
image and video acquisition,42
computational complexity,42
medical image processing,42
query processing,42
multimedia communication,42
materials,42
animals,42
user study,42
neurons,41
large screen displays,41
optimization methods,41
problem-solving,41
harmonic analysis,41
surface roughness,41
bridges,41
optical radar,41
i.3.3 computer graphics: picture/image generation,41
geophysics computing,40
security,40
product design,40
muscles,40
software packages,40
glass,40
object recognition,40
digital images,40
keyboards,40
reflectivity,40
anatomy,40
virtual prototyping,40
jacobian matrices,40
laplace equations,40
particle image velocimetry,40
3d imaging,39
theory of computation,39
computing and business,39
terminology,39
online front-ends,39
civil engineering computing,39
optimisation,39
iterative methods,39
stability,39
genetic algorithms,39
algebra,39
ubiquitous computing,39
medical treatment,39
xml,39
genetics,39
force feedback,39
image motion analysis,39
cost function,39
brain modeling,39
convolutional neural nets,39
i.3.8 computer graphics: applications,39
i.3.5 computer graphics: computational geometry and object modeling,39
project management,38
chaos,38
octrees,38
manufacturing,38
noise,38
aerospace electronics,38
time factors,38
data processing,38
noise reduction,38
i.3.7 computer graphics: three‐dimensional graphics and realism—raytracing,38
neural nets,37
computer languages,37
government,37
gpu,37
temperature,37
conferences,37
system testing,37
personal communication networks,37
safety,37
geometric modelling,37
gravity,37
noise measurement,37
autonomous vehicles,37
communities,36
architecture,36
knowledge visualization,36
information filters,36
digital simulation,36
network topology,36
document handling,36
visual effects,36
piecewise linear techniques,36
collaborative tools,36
visual communication,36
filling,36
automotive engineering,36
surface morphology,36
participatory design,36
i.3.5 computer graphics,36
computer industry,35
aerospace simulation,35
interference,35
natural language processing,35
stochastic processes,35
context awareness,35
privacy,35
computer supported cooperative work,34
visual representation,34
resource management,34
couplings,34
vocabulary,34
ocean temperature,34
software architecture,34
iris,34
twitter,34
face recognition,34
rivers,34
satellites,34
image sequences,34
image classification,34
aircraft,34
observers,34
scientific computing,34
monte carlo methods,34
user studies,34
numerical analysis,33
information theory,33
timing,33
subspace constraints,33
image representation,33
boundary conditions,33
probability,33
software prototyping,33
web search,33
social networking (online),33
image recognition,33
liquid crystal displays,33
information processing,33
ergonomics,33
decoding,33
manuals,33
volume measurement,33
mathematics of computing,32
software organization and properties,32
web services,32
software creation and management,32
ontologies (artificial intelligence),32
brain,32
teaching,32
town and country planning,32
browsers,32
clocks,32
military computing,32
graph visualization,32
retina,32
error analysis,32
pattern matching,32
ellipsoids,32
error correction,32
vehicle dynamics,32
collaborative and social computing systems and tools,31
educational courses,31
ear,31
mobile devices,31
trees (mathematics),31
data acquisition,31
europe,31
pattern classification,31
smart phones,31
blogs,31
time measurement,31
fabrication,31
arithmetic,31
gaussian processes,31
standards development,31
hair,31
network servers,31
geospatial analysis,31
light scattering,31
autonomous driving,31
non‐photorealistic rendering,31
communication networks,30
laser modes,30
electronic publishing,30
multimedia databases,30
turning,30
simulation,30
benchmark testing,30
quantization,30
linear systems,30
computerized monitoring,30
combustion,30
radiosity,30
real‐time rendering,30
motion analysis,29
information visualisation,29
user interaction,29
drugs,29
dna,29
big data,29
human-computer interaction,29
hci,29
hospitals,29
gene expression,29
html,29
collision detection,29
image texture,29
face detection,29
video sequences,29
chemicals,29
power generation,29
data security,29
distortion,29
ultrasonic imaging,29
shadow mapping,29
visualization techniques,28
transportation,28
automation,28
knowledge engineering,28
motion planning,28
dynamics,28
educational technology,28
image registration,28
operating systems,28
handicapped aids,28
engineering drawings,28
optical refraction,28
fingers,28
x-ray imaging,28
image restoration,28
citation analysis,28
image colour analysis,28
usability evaluation,28
degradation,28
abstracts,28
weaving,28
clustering methods,28
metadata,28
sea surface,28
symmetric matrices,28
oceans,28
buffer storage,28
modeling and simulation,27
document management and text processing,27
logic,27
personal digital assistants,27
demography,27
routing,27
realistic images,27
environmental management,27
printers,27
organizing,27
knowledge discovery,27
distributed databases,27
design optimization,27
stock markets,27
linear programming,27
temperature measurement,27
sea measurements,27
arrays,27
dynamic range,27
blood,27
image storage,27
surface waves,27
i.3.6 computer graphics: methodology and techniques—interaction techniques,27
cfd,27
partial differential equations,26
randomness,26
virtual manufacturing,26
program visualisation,26
directed graphs,26
instruction sets,26
broadcasting,26
detection algorithms,26
productivity,26
information geometry,26
friction,26
collaborative software,26
holography,26
intrusion detection,26
google,26
open source software,26
clustering,26
surface cracks,26
biomedical optical imaging,26
table lookup,26
i.3.3 computer graphics: picture/image generation—viewing algorithms,26
shadowing and texture,26
image and video processing,26
i.3.5 computer graphics: computational geometry and object modeling—physically based modeling,26
vrml,25
marketing and sales,25
atomic measurements,25
electroencephalography,25
visual languages,25
synchronization,25
plastics,25
high performance computing,25
power engineering and energy,25
gesture recognition,25
reliability,25
sensor fusion,25
pervasive computing,25
3d visualization,25
dimensionality reduction,25
event detection,25
ink,25
elasticity,25
fabrics,25
optical distortion,25
computer vision problems,24
knowledge based systems,24
meta data,24
building,24
mood,24
remote sensing,24
digital libraries,24
unified modeling language,24
wheels,24
gray-scale,24
character recognition,24
speech recognition,24
object tracking,24
visualization technique,24
biology,24
information security,24
reconstruction algorithms,24
astronomy,24
software design,24
piecewise linear approximation,24
parallel algorithms,24
intelligent systems,24
detectors,24
road traffic control,24
user-centered design,24
image‐based rendering,24
i.3.3 computer graphics: picture/image generation—,24
mixed / augmented reality,23
computers in other domains,23
energy consumption,23
euclidean distance,23
biomechanics,23
regression analysis,23
web server,23
modeling,23
visualization tool,23
reverse engineering,23
contracts,23
geometric modeling,23
technology management,23
printing,23
texture mapping,23
radiology,23
text mining,23
process planning,23
arteries,23
social media,23
software development,23
signal processing,23
remotely operated vehicles,23
implicit surfaces,23
software system structures,23
communication hardware,22
interactive systems and tools,22
intelligent networks,22
containers,22
content-based retrieval,22
power engineering computing,22
database systems,22
sequences,22
investments,22
virtual reality languages,22
finite element analysis,22
capacitive sensors,22
nonlinear distortion,22
diagrams,22
production systems,22
dictionaries,22
data flow computing,22
video signal processing,22
documentation,22
cathode ray tubes,22
deep learning,22
wavelets,22
aneurysm,22
software standards,22
biomedical engineering,22
silver,22
approximation error,22
eye tracking,22
probabilistic logic,22
wavelet analysis,22
i.3.5 computer graphics: computational geometry and object modeling—,22
motion capture,21
web applications,21
computing / technology policy,21
synchronous editors,21
windows,21
handheld computers,21
social networks,21
self-organising feature maps,21
parallel coordinates,21
product development,21
terrain mapping,21
h infinity control,21
skull,21
decision trees,21
surveillance,21
read-write memory,21
pediatrics,21
emotion recognition,21
explosions,21
visual exploration,21
foot,21
data communication,21
tiles,21
graphical user interface,21
pedestrians,21
amino acids,21
density measurement,21
manufacturing processes,21
biological tissues,21
constraint optimization,21
digital cameras,21
auditory displays,21
crowdsourcing,21
personnel,21
clothing,21
space vehicles,21
employment,21
risk management,21
children,21
strain,21
resists,21
motion retargeting problem,21
adaptation to different characters.,21
solid and object representations,21
digital geometry processing,21
vortex,21
personal computers and pc applications,20
designing software,20
debugging,20
traffic control,20
bayes methods,20
encyclopedias,20
educational programs,20
density functional theory,20
floors,20
postal services,20
presses,20
inference mechanisms,20
pose estimation,20
biochemistry,20
systems engineering and theory,20
organisms,20
support vector machines,20
gaze tracking,20
matrix algebra,20
visual representations,20
binary trees,20
graph drawing,20
recommender systems,20
pathology,20
morphology,20
feeds,20
bibliographies,20
database languages,20
cloud computing,20
classification,20
integral equations,20
acoustics,20
surfaces,20
load management,20
planets,20
blood vessels,20
sensor systems,20
tomography,20
fuels,20
adaptive control,20
bifurcation,20
lagrangian functions,20
i.3.7 computer graphics: three‐dimensional graphics and realism—,20
i.3.6 computer graphics: methodology and techniques,20
multimedia information systems,19
texturing,19
matrix decomposition,19
search problems,19
mutual information,19
road accidents,19
poles and towers,19
environmental factors,19
mobile device,19
sensitivity,19
patient treatment,19
accidents,19
humanities,19
publishing,19
object-oriented programming,19
colon,19
civil engineering,19
communication system control,19
visualisation,19
linear approximation,19
law enforcement,19
earthquakes,19
motion estimation,19
software performance,19
probability density function,19
adaptive optics,19
paint systems,19
wake,19
physical simulation,18
computer vision tasks,18
software development process management,18
public domain software,18
distributed processing,18
forensics,18
pragmatics,18
multimedia,18
biological cells,18
quaternions,18
read only memory,18
probability distribution,18
grammar,18
training data,18
simulated annealing,18
very large scale integration,18
iso standards,18
hypermedia,18
security of data,18
global communication,18
biomedical monitoring,18
manipulator dynamics,18
uniform resource locators,18
auditory system,18
biomedical equipment,18
video recording,18
velocity measurement,18
image sensors,18
multiresolution analysis,18
yarn,18
usa councils,18
anomaly detection,18
cells (biology),18
stability analysis,18
frequency domain analysis,18
geovisualization,18
gaussian distribution,18
colored noise,18
blades,18
anatomical structure,18
storms,18
recurrent neural nets,18
intelligent transportation systems,18
signal resolution,18
i.3.8 computer graphics: applications—,18
flow control,18
distributed systems organizing principles,18
document preparation,17
hypertext / hypermedia,17
internet communications tools,17
user characteristics,17
natural language interfaces,17
life and medical sciences,17
floods,17
terrorism,17
marine animals,17
minerals,17
graphs,17
helium,17
aging,17
formal specification,17
mechanical engineering,17
social sciences computing,17
throughput,17
telephony,17
random access memory,17
unsupervised learning,17
environmental economics,17
database management systems,17
hidden markov models,17
image fusion,17
bicycles,17
content based retrieval,17
communications technology,17
content management,17
mouth,17
user interface management systems,17
distribution functions,17
tagging,17
optical filters,17
signal analysis,17
nonlinear equations,17
markov processes,17
maintenance engineering,17
position measurement,17
computer security,17
attenuation,17
control system synthesis,17
perception,17
survey,17
spatial coherence,17
distance measurement,17
noise robustness,17
robot vision,17
hydrodynamics,17
conformal mapping,17
absorption,17
mobile,17
motion segmentation,17
natural media simulation,17
octree,17
volume visualization,17
methods and applications,17
computer graphics i.3.7: three‐dimensional graphics and realism,17
biomedical image processing,17
calendars,16
delays,16
bipartite graph,16
software maintenance,16
apertures,16
data handling,16
tumors,16
video compression,16
mathematics computing,16
voting,16
smartphones,16
culture,16
compounds,16
logistics,16
medical information systems,16
radio access networks,16
multidimensional scaling,16
user interface design,16
minimization,16
multi-agent systems,16
area measurement,16
stereo vision,16
algorithms,16
business data processing,16
programming environments,16
file systems,16
control engineering computing,16
photometry,16
material properties,16
deformation,16
manufacturing industries,16
connectors,16
viscosity,16
geoscience,16
navier-stokes equations,16
noise generators,16
antialiasing,16
electrons,16
physiology,16
biomembranes,16
wavelet domain,16
birds,16
data privacy,16
upper bound,16
neuroscience,16
neoplasms,16
astrophysics,16
awards,16
rendering systems,16
texture synthesis,16
i.3.7 computer graphics: color,16
liquids,16
ubiquitous and mobile computing,16
multi / mixed media creation,15
arts and humanities,15
parametric curve and surface models,15
visibility,15
client-server systems,15
speech processing,15
resource description framework,15
machine learning algorithms,15
data gloves,15
open systems,15
data representation,15
set theory,15
hypermedia markup languages,15
process control,15
moon,15
electrodes,15
authoring systems,15
public transportation,15
surges,15
air pollution,15
filtering theory,15
engineering profession,15
interaction technique,15
ethics,15
time-frequency analysis,15
economics,15
availability,15
image matching,15
distortion measurement,15
network visualization,15
transmission line matrix methods,15
older adults,15
creativity,15
prediction algorithms,15
aircraft propulsion,15
embedded computing,15
solar system,15
kinetic theory,15
biological information theory,15
wires,15
force control,15
optical computing,15
watches,15
technical drawing,15
analysis of variance,15
coordination,15
least squares approximation,15
endoscopes,15
spectral analysis,15
coordinate measuring machines,15
positron emission tomography,15
gestures,15
blood flow,15
predictive control,15
automated vehicles,15
human-robot interaction,15
particle scattering,15
particle tracking,15
hurricanes,15
mobile phone,15
ethnography,15
nonrealistic rendering,15
i.3.6 computer graphics: methodology and techniques—graphics data structures and data types,15
computational photography,15
i.3.5 computer graphics: curve,15
three‐dimensional graphics and realism,15
collaborative and social computing design and evaluation methods,15
organizing principles for web applications,15
assistive technologies,14
authentication,14
software design techniques,14
software implementation planning,14
data reduction,14
artificial neural networks,14
rain,14
radar,14
linguistics,14
cellular phones,14
financial data processing,14
redundancy,14
digital elevation models,14
learning systems,14
computer based training,14
councils,14
wind speed,14
colour graphics,14
text visualization,14
paper technology,14
cultural heritage,14
pressing,14
management information systems,14
engineering education,14
command and control systems,14
quantum computing,14
thumb,14
lesions,14
graphical models,14
sparse matrices,14
iron,14
expert systems,14
compression algorithms,14
robot vision systems,14
fuses,14
geometrical optics,14
heating systems,14
portable computers,14
cardiology,14
current measurement,14
electric shock,14
finite difference methods,14
local area networks,14
least squares methods,14
airplanes,14
nonhomogeneous media,14
signal processing algorithms,14
cscw,14
data preprocessing,14
noise shaping,14
hydrogen,14
vehicular ad hoc networks,14
damping,14
nist,14
tin,14
lifting equipment,14
multi-touch,14
geometric algorithms,14
segmentation,14
context specific languages,14
computing profession,13
haptic devices,13
usability testing,13
biological neural networks,13
chemistry,13
very large databases,13
pain,13
computational linguistics,13
inverse problems,13
discrete event simulation,13
visual programming,13
generators,13
systematics,13
engineering management,13
interface,13
tellurium,13
identity-based encryption,13
calculus,13
africa,13
exploratory data analysis,13
electronic learning,13
legal factors,13
service oriented architecture,13
intelligent structures,13
health care,13
user-generated content,13
blending,13
wire,13
fourier transforms,13
hazards,13
electronic commerce,13
heat transfer,13
genetic algorithm,13
case study,13
parameter estimation,13
advertising,13
motion measurement,13
parallel programming,13
aesthetics,13
knowledge transfer,13
educational administrative data processing,13
minimally invasive surgery,13
needles,13
computer aided engineering,13
graph layout,13
multiresolution,13
optimal control,13
electric breakdown,13
peer to peer computing,13
international collaboration,13
simultaneous localization and mapping,13
standardization,13
keywords,13
lighting control,13
physically based animation,13
leg,13
healthcare,13
sentiment analysis,13
competitive intelligence,13
telepresence,13
optical surface waves,13
bismuth,13
nonlinear filters,13
autonomous vehicle,13
optical attenuators,13
energy resolution,13
motion detection,13
ux,13
physically based modeling,13
isosurface,13
photonics,13
rubber,13
schlieren,13
empirical studies in collaborative and social computing,13
contextual software domains,12
people with disabilities,12
simulation types and techniques,12
reconstruction,12
multimedia and multimodal retrieval,12
specialized information retrieval,12
computer systems organization,12
visualization tools,12
finance,12
counting circuits,12
performance,12
image synthesis,12
radiation therapy,12
wireless sensor networks,12
approximation theory,12
visualization method,12
educational products,12
failure analysis,12
information visualization techniques,12
covariance matrix,12
data exploration,12
credit cards,12
user centred design,12
communication industry,12
user evaluation,12
central processing unit,12
visual data mining,12
gis,12
virtual colonoscopy,12
ray casting,12
rna,12
molecular biophysics,12
best practices,12
image enhancement,12
public administration,12
functional programming,12
logic programming,12
appraisal,12
force measurement,12
optical design,12
tablets,12
length measurement,12
telecommunication computing,12
magnetic heads,12
web and internet services,12
snow,12
interface design,12
optical character recognition software,12
hemodynamics,12
orbits,12
software testing,12
e-learning,12
storytelling,12
middleware,12
optical films,12
iterative closest point algorithm,12
kalman filters,12
consumer electronics,12
medical imaging,12
stacking,12
electrostatics,12
light emitting diodes,12
circuits,12
programmable control,12
angiography,12
optical microscopy,12
surface emitting lasers,12
eye-tracking,12
charge coupled devices,12
lakes,12
measurement uncertainty,12
size measurement,12
trajectory control,12
steering systems,12
quadratic programming,12
robot kinematics,12
low pass filters,12
radiometry,12
emotion,12
curves and surfaces,12
turbulence,12
natural phenomena,12
computer graphics i.3.5: computational geometry and object modeling,12
curve,12
human simulation,12
watermarking,12
image‐based modeling/rendering,12
projective geometry,12
vanishing line,12
panoramic image.,12
computing education,12
information storage systems,11
volumetric models,11
scene understanding,11
security and privacy,11
application program interfaces,11
spatial data structures,11
scheduling,11
extrapolation,11
weapons,11
software tool,11
node-link diagrams,11
extraterrestrial phenomena,11
edge detection,11
portfolios,11
multiple coordinated views,11
touch sensitive screens,11
assembly systems,11
biological systems,11
imaging phantoms,11
tutorials,11
design process,11
production facilities,11
refractive index,11
spatio-temporal data,11
covariance matrices,11
software agents,11
software visualization,11
temporal data,11
environmental science computing,11
web page design,11
web design,11
lungs,11
computer bugs,11
spine,11
machining,11
web mining,11
computational biology,11
industrial training,11
self organizing feature maps,11
power generation economics,11
forestry,11
social interaction,11
online communities/technical collaboration,11
discrete cosine transforms,11
tail,11
distance learning,11
aerospace industry,11
wavelet coefficients,11
automatic testing,11
processor scheduling,11
production engineering computing,11
refining,11
space missions,11
visual systems,11
wearable computers,11
nearest neighbor searches,11
assistive technology,11
orbital robotics,11
graphics hardware,11
magnetic field measurement,11
industries,11
soil,11
vector quantization,11
visual search,11
dynamic programming,11
program processors,11
microprocessors,11
drives,11
smartphone,11
prototyping,11
convolutional neural networks,11
airports,11
adaptive mesh refinement,11
prefetching,11
satellite broadcasting,11
intelligent vehicles,11
automated driving,11
actuators,11
fcc,11
fluid flow measurement,11
optical scattering,11
tangible interaction,11
3d interaction,11
receivers,11
viewing algorithms,11
3d shape matching,11
compression,11
caustics,11
i.3.7 computer graphics: three‐dimensional graphics and realism—ray tracing,11
vibrations,11
general programming languages,11
signal processing systems,11
graphics file formats,10
enterprise computing,10
convolutional neural network,10
data structure,10
frequency measurement,10
object oriented programming,10
banking,10
visual clutter,10
computerised tomography,10
drawing,10
semantic networks,10
museums,10
laser radar,10
electron tubes,10
direct manipulation,10
visualization system,10
dentistry,10
power grids,10
sensemaking,10
teleconferencing,10
graphic design,10
cultural aspects,10
mixed reality,10
tablet computers,10
message passing,10
knowledge acquisition,10
data collection,10
machine vision,10
3d model,10
learning,10
pollution measurement,10
parallel computing,10
impedance,10
automata,10
biomedical education,10
vegetation mapping,10
web,10
magnetic resonance,10
constraint handling,10
constraint theory,10
sports,10
computer mediated communication,10
independent component analysis,10
flow graphs,10
video games,10
robot sensing systems,10
bar charts,10
data integrity,10
intellectual property,10
adaptive systems,10
radio frequency,10
human perception,10
robust control,10
nose,10
boats,10
classification algorithms,10
internet of things,10
telescopes,10
fuzzy sets,10
structural engineering computing,10
finite element method,10
minimization methods,10
point cloud,10
logic gates,10
ecosystems,10
cleaning,10
information services,10
toy industry,10
multimodal interfaces,10
software metrics,10
multimodal interaction,10
sequential analysis,10
game theory,10
page description languages,10
fingerprint recognition,10
mobile phones,10
discrete wavelet transforms,10
entertainment,10
torso,10
liver,10
magnetic analysis,10
noise level,10
atmosphere,10
materials science and technology,10
brdf,10
rotation,10
digital systems,10
text processing,10
sensitivity analysis,10
head-mounted displays,10
data science,10
road vehicle radar,10
slam (robots),10
biomedical measurements,10
shock waves,10
neurosurgery,10
aerospace engineering,10
geophysical measurements,10
mobility,10
fitts’ law,10
touch,10
haptics,10
cognitive load,10
autism,10
tutorial,10
subdivision,10
line and curve generation,10
raytracing,10
i.3.5 computer graphics: computational geometry and object modeling—boundary representations,10
education courses,10
modulation,10
large eddy simulation,10
wind tunnel,10
pod,10
human and societal aspects of security and privacy,10
mathematical analysis,9
model development and analysis,9
functional analysis,9
interface design prototyping,9
enterprise information systems,9
thesauri,9
information extraction,9
data fitting,9
building materials,9
communication channels,9
notebook computers,9
youtube,9
text recognition,9
social aspects of automation,9
economic forecasting,9
acoustic signal processing,9
medical signal processing,9
exploratory visualization,9
syntactics,9
torque control,9
web browser,9
size control,9
3d models,9
liquid crystals,9
technology planning,9
specification languages,9
temperature distribution,9
video,9
user requirements,9
relational database,9
graphical representation,9
multidimensional data visualization,9
computer network management,9
sparks,9
interactive data exploration,9
visual information,9
educational computing,9
hip,9
automatic generation control,9
dimension reduction,9
behavioural sciences computing,9
fasteners,9
sprites (computer),9
belief networks,9
architectural design,9
condition monitoring,9
audio signal processing,9
biometrics,9
multivariate data,9
mashups,9
patient monitoring,9
fuzzy logic,9
licenses,9
computer crime,9
china,9
keyword search,9
multiple views,9
glyphs,9
load modeling,9
haptic feedback,9
information design,9
hypercubes,9
smart cities,9
team working,9
teamwork,9
audio user interfaces,9
orthopedic surgery,9
chemistry computing,9
business communication,9
flowcharts,9
natural language,9
rhythm,9
floating-point arithmetic,9
logic design,9
grasping,9
visual attention,9
illumination,9
cd-roms,9
3d graphics,9
visual data analysis,9
facebook,9
quality assessment,9
literature,9
3d printing,9
nurbs,9
image filtering,9
evolution (biology),9
parallel architectures,9
classification tree analysis,9
fluorescence,9
computational intelligence,9
matrix converters,9
diffraction,9
virtual worlds,9
frequency modulation,9
risk analysis,9
mass spectroscopy,9
horses,9
software quality,9
underwater vehicles,9
parameterization,9
tangible user interface,9
cluster analysis,9
transform coding,9
road transportation,9
statistical distributions,9
man machine systems,9
pigments,9
standards organizations,9
sampling,9
remote monitoring,9
marching cubes,9
design tools,9
solvents,9
satellite navigation,9
semantic segmentation,9
spraying,9
poisson equations,9
lattice boltzmann methods,9
fans,9
gold,9
affective computing,9
web accessibility,9
sustainability,9
hci4d,9
tabletop,9
polarization,9
i.3.7 computer graphics: animation,9
penumbra,9
interactive volume rendering,9
